#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
MSTRG.35.1	2940	223	0.35644	6.705887031555175	1	0.995901	coding
MSTRG.35.2	2940	223	0.35644	6.705887031555175	1	0.995901	coding
MSTRG.36.1	10451	159	0.29268	9.230599403381348	1	0.40548	noncoding
MSTRG.36.2	36778	757	0.29496	4.368781471252441	1	1	coding
MSTRG.36.3	36778	757	0.29496	4.368781471252441	1	1	coding
MSTRG.36.4	9736	131	0.29268	7.649925804138184	1	0.288728	noncoding
MSTRG.36.5	25186	757	0.32366	4.368781471252441	1	1	coding
MSTRG.36.6	25186	757	0.32366	4.368781471252441	1	1	coding
MSTRG.36.7	25186	757	0.32366	4.368781471252441	1	1	coding
MSTRG.36.8	24204	757	0.32366	4.368781471252441	1	1	coding
MSTRG.36.9	18997	450	0.33738	4.374579048156738	1	1	coding
MSTRG.37.1	3746	79	0.28515	4.791663551330567	1	0.15555	noncoding
MSTRG.38.1	9384	518	0.25714000000000004	10.33346004486084	1	0.997158	coding
MSTRG.38.2	9384	518	0.25714000000000004	10.33346004486084	1	0.997158	coding
MSTRG.38.3	1586	60	0.33096	9.893914604187014	-1	0.157485	noncoding
MSTRG.38.4	6444	182	0.28883000000000003	9.275147056579591	1	0.565106	coding
MSTRG.39.1	7191	117	0.28014	9.785607719421385	1	0.127292	noncoding
MSTRG.40.1	1080	49	0.36872	8.55387477874756	1	0.0201449	noncoding
MSTRG.41.1	8489	208	0.31377	9.921120262145994	1	0.817761	coding
MSTRG.41.2	3553	91	0.28279000000000004	9.495693397521975	-1	0.166966	noncoding
MSTRG.42.1	96002	603	0.28590000000000004	10.920831489562985	1	0.999871	coding
MSTRG.42.2	96002	603	0.28590000000000004	10.920831489562985	1	0.999871	coding
MSTRG.43.1	20552	125	0.32465	8.802271461486818	1	0.277932	noncoding
MSTRG.43.2	20552	125	0.32465	8.802271461486818	1	0.277932	noncoding
MSTRG.44.1	21590	311	0.28144	6.034163856506347	1	0.99965	coding
MSTRG.45.1	6835	233	0.2375	11.609353828430176	1	0.281256	noncoding
MSTRG.45.2	6757	233	0.2375	11.609353828430176	1	0.281256	noncoding
MSTRG.45.3	6507	144	0.2375	11.999967765808105	1	0.130627	noncoding
MSTRG.45.4	6507	144	0.2375	11.999967765808105	1	0.130627	noncoding
MSTRG.46.1	26623	700	0.26522	9.09850368499756	1	0.999999	coding
MSTRG.46.2	26601	700	0.26522	9.09850368499756	1	0.999999	coding
MSTRG.47.1	904	56	0.34203	11.19030933380127	1	0.0348716	noncoding
MSTRG.48.1	135379	284	0.28279000000000004	9.41562366485596	1	0.955209	coding
MSTRG.48.2	135122	284	0.28279000000000004	9.41562366485596	1	0.955209	coding
MSTRG.48.3	135111	284	0.28279000000000004	9.41562366485596	1	0.955209	coding
MSTRG.49.1	5871	131	0.36863999999999997	10.143794059753418	1	0.490335	noncoding
MSTRG.50.1	61936	340	0.26614000000000004	10.384067726135253	1	0.938743	coding
MSTRG.50.2	61920	340	0.26614000000000004	10.384067726135253	1	0.938743	coding
MSTRG.50.3	23256	157	0.28315	6.949612617492675	1	0.599612	coding
MSTRG.50.4	23231	157	0.28315	6.949612617492675	1	0.599612	coding
MSTRG.50.5	14578	134	0.28063	10.294843482971189	1	0.176876	noncoding
MSTRG.51.1	1833	89	0.30581	11.999967765808105	1	0.0596305	noncoding
MSTRG.52.1	373	94	0.37472999999999995	4.369065666198731	-1	0.0369495	noncoding
MSTRG.53.1	8930	369	0.33243	6.018589973449706	1	0.999998	coding
MSTRG.54.1	6055	126	0.28767000000000004	9.358053398132324	1	0.176781	noncoding
MSTRG.54.2	21168	165	0.27415	9.649192619323731	1	0.33948	noncoding
MSTRG.55.1	23223	209	0.2787	8.900263404846193	1	0.741684	coding
MSTRG.55.2	13977	140	0.28518000000000004	9.157105445861816	1	0.250647	noncoding
MSTRG.55.3	13483	140	0.28518000000000004	9.157105445861816	1	0.250647	noncoding
MSTRG.56.1	66967	423	0.27115	8.842435264587401	1	0.99935	coding
MSTRG.56.2	143413	423	0.29091	8.842435264587401	1	0.999832	coding
MSTRG.56.3	142920	423	0.29091	8.842435264587401	1	0.999832	coding
MSTRG.56.4	65973	423	0.27115	8.842435264587401	1	0.99935	coding
MSTRG.56.5	137061	423	0.28926	8.842435264587401	1	0.999812	coding
MSTRG.57.1	25708	373	0.28590000000000004	8.19414119720459	1	0.999502	coding
MSTRG.58.1	33809	1875	0.35331	4.343942832946779	1	1	coding
MSTRG.59.1	1418	99	0.39213999999999993	11.62411708831787	1	0.212458	noncoding
MSTRG.60.1	10990	141	0.28927	10.125871849060058	1	0.23062	noncoding
MSTRG.61.1	168053	783	0.26806	5.3026460647583	1	1	coding
MSTRG.61.2	168053	783	0.26806	5.3026460647583	1	1	coding
MSTRG.62.1	477	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.63.1	385	93	0.5027200000000001	6.8824857711792	-1	0.0463072	noncoding
MSTRG.64.1	521	11	0.34688	5.748434257507324	1	1.60067e-05	noncoding
MSTRG.65.1	895	108	0.44680000000000003	8.933980369567873	1	0.608074	coding
MSTRG.66.1	661	29	0.34448999999999996	5.222389411926269	1	0.00756607	noncoding
MSTRG.67.1	6617	1852	0.26263	9.961541938781735	1	1	coding
MSTRG.68.1	49750	254	0.28003	10.889822196960449	1	0.719921	coding
MSTRG.68.2	49750	254	0.28003	10.889822196960449	1	0.719921	coding
MSTRG.68.3	49750	254	0.28003	10.889822196960449	1	0.719921	coding
MSTRG.68.4	35347	254	0.28003	10.889822196960449	1	0.719921	coding
MSTRG.69.1	67448	404	0.28423000000000004	7.169522666931152	1	0.999966	coding
MSTRG.70.1	8221	275	0.29728	11.000127601623536	1	0.880254	coding
MSTRG.71.1	357	85	0.34820999999999996	8.68642177581787	-1	0.110402	noncoding
MSTRG.72.1	16645	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.2	16019	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.3	16506	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.4	16506	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.5	14102	423	0.2725	11.999967765808105	-1	0.00368941	noncoding
MSTRG.72.6	16506	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.7	16506	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.8	14102	423	0.2725	11.999967765808105	-1	0.00368941	noncoding
MSTRG.72.9	16506	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.10	16506	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.11	16506	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.12	16506	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.13	16506	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.14	14102	423	0.2725	11.999967765808105	-1	0.00368941	noncoding
MSTRG.72.15	16506	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.16	16506	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.17	14102	423	0.2725	11.999967765808105	-1	0.00368941	noncoding
MSTRG.72.18	14102	423	0.2725	11.999967765808105	-1	0.00368941	noncoding
MSTRG.72.19	16506	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.20	15879	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.21	16505	499	0.2725	11.77561779022217	1	0.974567	coding
MSTRG.72.22	13864	344	0.2725	11.502594184875488	-1	0.0141039	noncoding
MSTRG.73.1	1390	224	0.34779	9.500077247619632	1	0.970427	coding
MSTRG.74.1	16404	470	0.31606	8.806010627746584	1	0.999996	coding
MSTRG.74.2	1083	73	0.3309	8.70653591156006	1	0.0453305	noncoding
MSTRG.74.3	4557	470	0.27487	8.806010627746584	1	0.999888	coding
MSTRG.75.1	17158	406	0.31663	8.915929222106932	1	0.999943	coding
MSTRG.75.2	28078	406	0.27739	8.915929222106932	1	0.999185	coding
MSTRG.75.3	28078	406	0.27739	8.915929222106932	1	0.999185	coding
MSTRG.75.4	28078	406	0.27739	8.915929222106932	1	0.999185	coding
MSTRG.75.5	23916	406	0.27739	8.915929222106932	1	0.999185	coding
MSTRG.75.6	23437	406	0.27739	8.915929222106932	1	0.999185	coding
MSTRG.75.7	12509	406	0.31663	8.915929222106932	1	0.999943	coding
MSTRG.76.1	8833	406	0.30541	8.915929222106932	1	0.999876	coding
MSTRG.76.2	9429	406	0.32851	8.915929222106932	1	0.999975	coding
MSTRG.77.1	11117	236	0.27439	9.338777351379395	1	0.811556	coding
MSTRG.77.2	11097	236	0.27439	9.338777351379395	1	0.811556	coding
MSTRG.78.1	1717	142	0.37849	10.382198143005368	1	0.642692	coding
MSTRG.78.2	1717	142	0.37849	10.382198143005368	1	0.642692	coding
MSTRG.79.1	363	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.80.1	72102	586	0.28279000000000004	7.7289888381958	1	1	coding
MSTRG.80.2	20021	348	0.28927	8.342289543151857	1	0.99876	coding
MSTRG.80.3	74386	586	0.28279000000000004	7.7289888381958	1	1	coding
MSTRG.81.1	31186	345	0.23958	10.255775642395019	1	0.859847	coding
MSTRG.81.2	8860	345	0.29441	10.255775642395019	1	0.989088	coding
MSTRG.81.3	8860	345	0.29441	10.255775642395019	1	0.989088	coding
MSTRG.81.4	8799	345	0.29441	10.255775642395019	1	0.989088	coding
MSTRG.82.1	3009	125	0.29294	10.605774497985841	1	0.157918	noncoding
MSTRG.82.2	3009	125	0.29294	10.605774497985841	1	0.157918	noncoding
MSTRG.82.3	3009	125	0.29294	10.605774497985841	1	0.157918	noncoding
MSTRG.82.4	3005	125	0.29294	10.605774497985841	1	0.157918	noncoding
MSTRG.83.1	19022	2443	0.2381	10.93997859954834	1	1	coding
MSTRG.83.2	9284	163	0.30078000000000005	4.0500284194946286	1	0.964467	coding
MSTRG.84.1	5372	61	0.32366	9.09908390045166	1	0.0284746	noncoding
MSTRG.85.1	488	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.86.1	218	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.87.1	925	89	0.45604	8.089895820617677	1	0.342319	noncoding
MSTRG.88.1	1276	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.89.1	256	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.90.1	503	0	0.22649	0.0	-1	0.00493326	noncoding
MSTRG.91.1	2834	59	0.2921	9.455594062805176	1	0.0263367	noncoding
MSTRG.92.1	1033	63	0.2921	10.73645191192627	1	0.0368523	noncoding
MSTRG.93.1	298	0	0.33052	0.0	-1	5.9162e-07	noncoding
MSTRG.94.1	28002	228	0.29367000000000004	10.91025867462158	1	0.687746	coding
MSTRG.94.2	9963	61	0.28719	9.847432899475098	1	0.0302724	noncoding
MSTRG.94.3	9886	61	0.28719	9.847432899475098	1	0.0302724	noncoding
MSTRG.95.1	53706	177	0.29268	6.72890682220459	1	0.823928	coding
MSTRG.95.2	50493	177	0.29496	6.72890682220459	1	0.829405	coding
MSTRG.95.3	50448	177	0.29496	6.72890682220459	1	0.829405	coding
MSTRG.95.4	49779	177	0.29496	6.72890682220459	1	0.829405	coding
MSTRG.95.5	48672	177	0.29496	6.72890682220459	1	0.829405	coding
MSTRG.95.6	45681	177	0.29496	6.72890682220459	1	0.829405	coding
MSTRG.95.7	33536	177	0.29268	6.72890682220459	1	0.823928	coding
MSTRG.95.8	33492	177	0.29772	6.72890682220459	1	0.836101	coding
MSTRG.96.1	27689	296	0.27115	6.518034172058106	1	0.998157	coding
MSTRG.96.2	27667	296	0.27115	6.518034172058106	1	0.998157	coding
MSTRG.96.3	27660	296	0.27115	6.518034172058106	1	0.998157	coding
MSTRG.96.4	27660	296	0.27115	6.518034172058106	1	0.998157	coding
MSTRG.96.5	21512	296	0.27115	6.518034172058106	1	0.998157	coding
MSTRG.97.1	14579	149	0.28883000000000003	8.266023445129395	1	0.380144	noncoding
MSTRG.97.2	14579	149	0.28883000000000003	8.266023445129395	1	0.380144	noncoding
MSTRG.98.1	15698	110	0.25966	10.212001609802243	1	0.0986518	noncoding
MSTRG.98.2	15679	110	0.25966	10.212001609802243	1	0.0986518	noncoding
MSTRG.99.1	1149	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.100.1	1128	75	0.34714999999999996	9.390545463562013	1	0.0610161	noncoding
MSTRG.101.1	5147	101	0.27667	6.794271659851074	1	0.137109	noncoding
MSTRG.101.2	1897	85	0.2937	4.701573753356932	1	0.196759	noncoding
MSTRG.102.1	89709	1861	0.28767000000000004	8.661343574523926	1	1	coding
MSTRG.103.1	522	29	0.31096999999999997	6.4912630081176745	1	0.00590829	noncoding
MSTRG.104.1	36204	351	0.27115	7.919183540344238	1	0.998383	coding
MSTRG.104.2	36172	351	0.27115	7.919183540344238	1	0.998383	coding
MSTRG.105.1	3512	135	0.37514000000000003	11.999967765808105	1	0.365066	noncoding
MSTRG.106.1	694	128	0.38503000000000004	11.903458595275879	1	0.373871	noncoding
MSTRG.107.1	2002	81	0.33190000000000003	7.727681541442871	1	0.0626376	noncoding
MSTRG.108.1	2930	96	0.34555	6.280788230895996	1	0.18614	noncoding
MSTRG.109.1	11187	220	0.27887	6.235373878479003	1	0.973517	coding
MSTRG.110.1	1096	202	0.27088999999999996	10.90323162078857	-1	0.0636615	noncoding
MSTRG.110.2	1096	202	0.27088999999999996	10.90323162078857	-1	0.0636615	noncoding
MSTRG.111.1	22162	271	0.29496	9.980946922302245	1	0.938723	coding
MSTRG.111.2	22115	271	0.29496	9.980946922302245	1	0.938723	coding
MSTRG.112.1	58574	477	0.28279000000000004	9.339873313903809	1	0.999868	coding
MSTRG.112.2	33040	223	0.28518000000000004	10.002479362487794	1	0.730932	coding
MSTRG.113.1	9500	186	0.28604000000000007	5.275022315979004	1	0.958161	coding
MSTRG.113.2	9500	186	0.28604000000000007	5.275022315979004	1	0.958161	coding
MSTRG.113.3	9427	186	0.28384000000000004	5.275022315979004	1	0.957361	coding
MSTRG.114.1	295	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.115.1	86525	348	0.29091	8.88182544708252	1	0.997762	coding
MSTRG.115.2	86525	348	0.29091	8.88182544708252	1	0.997762	coding
MSTRG.116.1	1531	39	0.40772	7.747290992736817	1	0.0142657	noncoding
MSTRG.117.1	22734	488	0.27175	4.0500284194946286	1	1	coding
MSTRG.117.2	22734	488	0.27175	4.0500284194946286	1	1	coding
MSTRG.117.3	22521	488	0.2734	4.0500284194946286	1	1	coding
MSTRG.117.4	22513	488	0.2734	4.0500284194946286	1	1	coding
MSTRG.118.1	55473	278	0.26730000000000004	8.555615425109863	1	0.956331	coding
MSTRG.118.2	14594	129	0.27234	10.170999717712402	1	0.151394	noncoding
MSTRG.119.1	8913	281	0.29391999999999996	11.41111354827881	-1	0.0467311	noncoding
MSTRG.119.2	8909	281	0.29391999999999996	11.41111354827881	-1	0.0467311	noncoding
MSTRG.120.1	747	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.121.1	44631	304	0.28554	5.823973274230957	1	0.99969	coding
MSTRG.121.2	111387	414	0.27081000000000005	9.72217082977295	1	0.996485	coding
MSTRG.122.1	545	7	0.30061	5.275022315979004	1	0.00293449	noncoding
MSTRG.123.1	266	86	0.3999	9.787477302551267	-1	0.119324	noncoding
MSTRG.124.1	5587	331	0.31628	9.489955711364747	1	0.998011	coding
MSTRG.125.1	2255	53	0.34617	10.446408653259276	1	0.0306227	noncoding
MSTRG.126.1	184299	462	0.27115	8.343578910827638	1	0.99992	coding
MSTRG.126.2	20629	240	0.26467	10.295036888122556	1	0.646097	coding
MSTRG.126.3	103967	462	0.29091	8.343578910827638	1	0.999982	coding
MSTRG.126.4	102735	462	0.29091	8.343578910827638	1	0.999982	coding
MSTRG.126.5	102735	462	0.29091	8.343578910827638	1	0.999982	coding
MSTRG.127.1	14390	105	0.25341	9.382035636901854	1	0.0920066	noncoding
MSTRG.127.2	13817	105	0.25341	9.382035636901854	1	0.0920066	noncoding
MSTRG.127.3	12137	105	0.26601	9.382035636901854	1	0.0913293	noncoding
MSTRG.127.4	12132	105	0.26601	9.382035636901854	1	0.0913293	noncoding
MSTRG.128.1	4111	57	0.27476999999999996	9.455465126037598	1	0.0260626	noncoding
MSTRG.128.2	4208	188	0.31429	11.97908000946045	-1	0.0829951	noncoding
MSTRG.129.1	19459	216	0.29091	9.569767570495603	1	0.773895	coding
MSTRG.129.2	16855	216	0.2921	9.569767570495603	1	0.780207	coding
MSTRG.129.3	16052	216	0.2921	9.569767570495603	1	0.780207	coding
MSTRG.130.1	4710	122	0.30488000000000004	8.574891471862792	1	0.207138	noncoding
MSTRG.131.1	681	206	0.44155999999999995	5.488850593566894	-1	0.26254	noncoding
MSTRG.132.1	95933	346	0.27081000000000005	10.358344841003415	1	0.956508	coding
MSTRG.132.2	53565	299	0.27081000000000005	9.064142036437985	1	0.965896	coding
MSTRG.133.1	12610	107	0.41555000000000003	4.688273429870605	1	0.760362	coding
MSTRG.134.1	7648	463	0.28108	4.636265754699706	1	1	coding
MSTRG.135.1	609	37	0.44714	5.362099647521972	1	0.0231054	noncoding
MSTRG.136.1	752	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.137.1	347	108	0.37892	5.20391674041748	-1	0.0493097	noncoding
MSTRG.138.1	876	280	0.39369	8.518997383117675	-1	0.343541	noncoding
MSTRG.139.1	1454	217	0.40935000000000005	9.484540367126463	-1	0.263328	noncoding
MSTRG.140.1	1174	226	0.49597	4.877433586120605	1	0.999865	coding
MSTRG.141.1	342	113	0.3463	9.020368003845213	-1	0.137964	noncoding
MSTRG.142.1	376	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.143.1	20486	165	0.28562000000000004	10.29284496307373	1	0.338271	noncoding
MSTRG.143.2	12537	165	0.28562000000000004	10.29284496307373	1	0.338271	noncoding
MSTRG.144.1	119081	371	0.29595000000000005	11.842149162292483	1	0.946284	coding
MSTRG.144.2	50137	292	0.29595000000000005	7.945615577697754	1	0.995349	coding
MSTRG.145.1	8769	111	0.26853000000000005	5.27252140045166	1	0.41773	noncoding
MSTRG.146.1	17889	77	0.28926	6.776026344299316	1	0.0531361	noncoding
MSTRG.147.1	239	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.148.1	3923	100	0.2848	9.992422294616702	1	0.0857712	noncoding
MSTRG.149.1	17603	271	0.28926	7.626735496520996	1	0.989989	coding
MSTRG.149.2	17558	271	0.28926	7.626735496520996	1	0.989989	coding
MSTRG.150.1	320	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.151.1	218	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.152.1	33562	398	0.26554000000000005	9.431611824035645	1	0.99527	coding
MSTRG.153.1	327	72	0.35886	8.990712547302245	-1	0.104661	noncoding
MSTRG.154.1	14105	231	0.29511000000000004	11.778518867492679	-1	0.0500257	noncoding
MSTRG.155.1	226	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.156.1	1168	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.157.1	292	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.158.1	112775	699	0.26829000000000003	8.365949440002442	1	1	coding
MSTRG.159.1	32277	672	0.25966	11.581567955017093	1	0.995778	coding
MSTRG.159.2	32160	672	0.25966	11.581567955017093	1	0.995778	coding
MSTRG.159.3	32160	672	0.25966	11.581567955017093	1	0.995778	coding
MSTRG.159.4	20459	672	0.24265	11.581567955017093	1	0.975525	coding
MSTRG.159.5	7036	109	0.29337	4.716636085510253	1	0.457627	noncoding
MSTRG.160.1	16314	131	0.29367000000000004	5.715183448791504	1	0.540881	coding
MSTRG.161.1	150275	681	0.26806	10.187568092346194	1	0.999978	coding
MSTRG.162.1	435	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.163.1	250	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.164.1	274391	507	0.25270000000000004	4.136935234069824	1	1	coding
MSTRG.164.2	100634	507	0.24766	4.136935234069824	1	1	coding
MSTRG.164.3	68979	206	0.26586000000000004	4.242826271057129	1	0.995016	coding
MSTRG.165.1	289	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.166.1	1674	436	0.32854	11.14950084686279	1	0.999675	coding
MSTRG.167.1	209160	345	0.27234	4.807635307312012	1	0.999986	coding
MSTRG.167.2	113142	345	0.27234	4.807635307312012	1	0.999986	coding
MSTRG.167.3	79172	345	0.27234	4.807635307312012	1	0.999986	coding
MSTRG.167.4	75817	345	0.27234	4.807635307312012	1	0.999986	coding
MSTRG.167.5	40423	345	0.26586000000000004	4.807635307312012	1	0.999983	coding
MSTRG.167.6	7757	140	0.32465	6.792964363098144	1	0.57638	coding
MSTRG.168.1	407	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.169.1	480	37	0.36736	6.368831825256348	1	0.00966999	noncoding
MSTRG.170.1	1133	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.171.1	429	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.172.1	3081	84	0.28617000000000004	6.046611595153809	1	0.0951425	noncoding
MSTRG.173.1	414	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.174.1	260	56	0.37593	5.781116676330566	-1	0.0262363	noncoding
MSTRG.175.1	310	60	0.45250999999999997	11.999967765808105	1	0.126035	noncoding
MSTRG.176.1	213	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.177.1	336	0	0.37034	0.0	-1	4.5982e-06	noncoding
MSTRG.178.1	322	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.179.1	2379	62	0.37288	4.144210624694824	1	0.116423	noncoding
MSTRG.180.1	504	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.181.1	222	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.182.1	10850	89	0.27081000000000005	5.366646766662597	1	0.191681	noncoding
MSTRG.183.1	52467	354	0.23738	10.060565376281737	1	0.892714	coding
MSTRG.183.2	3074	101	0.29552999999999996	9.237239646911618	1	0.0948416	noncoding
MSTRG.184.1	3512	196	0.34463	9.057695198059083	1	0.920024	coding
MSTRG.185.1	418	0	0.21719	0.0	-1	0.00838144	noncoding
MSTRG.186.1	5150	110	0.33710000000000007	9.149369239807132	1	0.197415	noncoding
MSTRG.187.1	6308	157	0.29337	5.805159568786621	1	0.793253	coding
MSTRG.187.2	6254	157	0.29337	5.805159568786621	1	0.793253	coding
MSTRG.187.3	6254	157	0.29337	5.805159568786621	1	0.793253	coding
MSTRG.188.1	13045	241	0.29841	9.500077247619632	1	0.909991	coding
MSTRG.188.2	13045	241	0.29841	9.500077247619632	1	0.909991	coding
MSTRG.188.3	13045	241	0.29841	9.500077247619632	1	0.909991	coding
MSTRG.189.1	23706	2176	0.24233	7.784831428527832	1	1	coding
